Easting,Northing,Mag_nT
535822.1628920591,4070111.504870795,32.37267391321996
535822.1044215224,4070113.708902661,30.771030072332287
535822.0466509389,4070115.917963437,29.18012275191781
535821.9913657033,4070118.119338903,27.60105701604023
535821.9385482082,4070120.32746186,26.03492212253731
535821.8887768962,4070122.5304094087,24.48279084191251
535821.841840235,4070124.7356178975,22.94571878754653
535821.7976002034,4070126.924581818,21.424743757639067
535821.7541942289,4070129.1085093087,19.92088508928199
535821.7107444033,4070131.279578527,18.4351430250592
535821.6664491175,4070133.456879458,16.96849809255974
535821.6209405733,4070135.634353159,15.521910497182557
535821.5738238054,4070137.8224095465,14.096319528603791
535821.5251578777,4070140.005353329,12.692642981268156
535821.4744394503,4070142.192260832,11.311776589257937
535821.4224967521,4070144.373730328,9.95459347588353
535821.3703556247,4070146.5652904976,8.621943618331274
535821.3185729263,4070148.757663268,7.314653327693668
535821.2667531194,4070150.95916955,6.033524744698904
535821.2145935735,4070153.151916879,4.779335351445622
535821.1607326404,4070155.3438452464,3.552837499440177
535821.1045326878,4070157.525981417,2.3547579542222983
535821.0449153978,4070159.7159865457,1.1857974568559095
535820.9806374838,4070161.906258682,0.0466303025504577
535820.9113954839,4070164.104033352,-1.0620960633313528
535820.8378132952,4070166.292931165,-2.139761431636155
535820.7604472785,4070168.481853098,-3.185773197917796
535820.680290106,4070170.670837877,-4.199566712849428
535820.5996845863,4070172.849580983,-5.180605614337501
535820.5197583954,4070175.0355048287,-6.128382141137934
535820.4423737966,4070177.2196089,-7.042417427786388
535820.3697549446,4070179.409722871,-7.922261780664535
535820.3036233804,4070181.591955282,-8.767494935038492
535820.2446206333,4070183.775804083,-9.577726292913818
535820.1929477523,4070185.953503018,-10.352595141567486
535820.1487609734,4070188.140907209,-11.091770852625004
535820.1105376149,4070190.329847791,-11.79495306156626
535820.0774183264,4070192.5256554415,-12.46187182755347
535820.0487253355,4070194.708707904,-13.092287773488309
535820.0231553906,4070196.884368897,-13.68599220621602
535819.9982399612,4070199.052432989,-14.242807216808176
535819.9719911745,4070201.2031708704,-14.762585760866532
535819.942579366,4070203.3541100025,-15.2452117188037
535819.9085077334,4070205.499018072,-15.69059993606881
535819.8694163107,4070207.649172592,-16.098696243297464
535819.8250467699,4070209.792147261,-16.469477456379508
535819.7752585968,4070211.940150125,-16.802951356448723
535819.719357793,4070214.0986008034,-17.099156649812485
535819.6583692197,4070216.265268284,-17.35816290785042
535819.5928304334,4070218.440144807,-17.580070486924622
535819.5237115268,4070220.621148752,-17.76501042835555
535819.4529920076,4070222.805441927,-17.913144338530202
535819.3839397432,4070224.9896090254,-18.02466424922184
535819.3180620767,4070227.172330031,-18.09979245821178
535819.2555936904,4070229.352532941,-18.13878135031697
535819.1972741464,4070231.527921543,-18.141913198938752
535819.1429339986,4070233.699897902,-18.109499948259568
535819.0932863044,4070235.867899067,-18.04188297622761
535819.0486709991,4070238.032977281,-17.93943283848014
535819.0083393242,4070240.196746608,-17.802548993368077
535818.9692165342,4070242.361905271,-17.631659508257272
535818.9292912118,4070244.527986882,-17.427220747291393
535818.8873699729,4070246.69459814,-17.189717040815108
535818.8428181866,4070248.860665357,-16.919660336665245
535818.7963820446,4070251.0233112737,-16.617589833550856
535818.7483611534,4070253.181494526,-16.284071596752618
535818.6992558587,4070255.3342535454,-15.919698156384015
535818.6498427147,4070257.480940802,-15.525088088466187
535818.6009480505,4070259.623693952,-15.100885579081174
535818.5528166433,4070261.765111533,-14.647759971875631
535818.5050382148,4070263.907830139,-14.166405299200456
535818.4565352692,4070266.055431409,-13.657539797179396
535818.4071039241,4070268.209068475,-13.1219054050116
535818.3576872252,4070270.3695050776,-12.560267248821225
535818.3094880673,4070272.545627607,-11.973413110377598
535818.2646720078,4070274.719942152,-11.362152881018933
535818.2232944629,4070276.900957752,-10.727318001120882
535818.1851594672,4070279.077794868,-10.069760885461038
535818.1489767453,4070281.266100013,-9.3903543348389
535818.1132576991,4070283.454985818,-8.689990934318862
535818.0764396286,4070285.650965804,-7.969582438472877
535818.0379720343,4070287.835807673,-7.230059144006957
535817.9975251217,4070290.018014578,-6.472369250163319
535817.9550707983,4070292.18863337,-5.697478207298392
535817.9109768935,4070294.3636774463,-4.906368054042954
535817.8660140339,4070296.5335283936,-4.100036743459172
535817.8208692273,4070298.696734401,-3.279497458614873
535817.7762905585,4070300.859061903,-2.445777918002704
535817.7333389792,4070303.0043752254,-1.5999196712380117
535817.6921410369,4070305.142707821,-0.7429773854749667
535817.6529049875,4070307.2675040048,0.1239818770132771
535817.6159618698,4070309.397567501,0.9998793896396104
535817.5813274593,4070311.5274278135,1.883625500236296
535817.5486597861,4070313.665430227,2.774120377256508
535817.5176513646,4070315.793898848,3.6702547629770006
535817.4869279335,4070317.920382389,4.570910733232442
535817.4550387599,4070320.035560064,5.474962463206818
535817.4206311883,4070322.155731015,6.381276998803807
535817.3827618682,4070324.2718696906,7.288715033114532
535817.3391332523,4070326.392343279,8.196131687497672
535817.2898758877,4070328.497191896,9.10237729678444
535817.2352297176,4070330.5965987537,10.006298198117884
535817.1759895157,4070332.68402397,10.906737522933776
535817.1107296587,4070334.780554568,11.802535991588442
535817.0394048311,4070336.879375553,12.692532710137296
535816.9608546586,4070338.9928091983,13.575565968765789
535816.8760557098,4070341.105601338,14.450474041374283
535816.7865597806,4070343.226694517,15.31609598581684
535816.6973012714,4070345.342651118,16.17127244429395
535816.6110241303,4070347.4687759634,17.014846443398294
535816.5307842111,4070349.594090823,17.845664193313908
535816.46033612,4070351.720944283,18.66257588566822
535816.400337091,4070353.833422124,19.464436489538222
535816.3507351546,4070355.936189657,20.25010654511252
535816.3112150028,4070358.020261527,21.01845295451243
535816.2815086929,4070360.1003505057,21.768349769277133
535816.2583595909,4070362.17411274,22.49867897401942
535816.239835689,4070364.248482576,23.208331265761487
535816.224377681,4070366.306292861,23.89620682846193
535816.209878934,4070368.353187546,24.561216102248714
535816.1941291958,4070370.381320246,25.202280546875656
535816.1746356731,4070372.407500647,25.81833339892325
535816.1490455093,4070374.433348815,26.40832042226884
535816.1145779366,4070376.4477748834,26.971200651354767
535816.071057946,4070378.4605822815,27.505947126787664
535816.0184664214,4070380.4702817327,28.01154762280662
535815.9565394557,4070382.497552707,28.48700536616253
535815.8839956202,4070384.543059068,28.93133974595688
535815.8015396864,4070386.6043915898,29.343587013992508
535815.7083601868,4070388.692274098,29.72280097519564
535815.6053979879,4070390.789407938,30.0680536676741
535815.4918361708,4070392.904972016,30.378436031982417
535815.3713335657,4070395.021480484,30.653058569171797
535815.2435225932,4070397.153126216,30.891051987209117
535815.1074577419,4070399.284844714,31.091567835356766
535814.9566977178,4070401.4157101256,31.25377912611134
